,Workout Date,Calories Burned (kcal),Distance (mi),Steps,Duration (min),Avg Pace (min/mi),Max Pace (min/mi),Link,Year,Month
0,2023-07-31,163,2.06009,7070,46.483333333333334,22.5638,8.07587,http://www.mapmyfitness.com/workout/7429498717,2023,7
1,2023-07-30,98,1.05951,4740,31.6,29.8251,12.9817,http://www.mapmyfitness.com/workout/7427597173,2023,7
2,2023-07-29,496,4.47639,7585,46.8,10.4549,7.50191,http://www.mapmyfitness.com/workout/7426008661,2023,7
3,2023-07-29,170,2.13094,7500,49.38333333333333,23.1744,11.3527,http://www.mapmyfitness.com/workout/7425726010,2023,7
4,2023-07-28,120,1.16048,6448,43.36666666666667,37.3695,15.1917,http://www.mapmyfitness.com/workout/7424701231,2023,7
5,2023-07-28,168,2.08773,7659,50.55,24.2129,12.1639,http://www.mapmyfitness.com/workout/7423838629,2023,7
6,2023-07-27,163,2.07772,6722,44.03333333333333,21.1931,11.774,http://www.mapmyfitness.com/workout/7421991370,2023,7
7,2023-07-26,87,1.10899,3578,23.433333333333334,21.1303,11.5069,http://www.mapmyfitness.com/workout/7421017069,2023,7
8,2023-07-26,180,2.24616,6365,41.31666666666667,18.3944,9.87641,http://www.mapmyfitness.com/workout/7419906469,2023,7
9,2023-07-25,111,1.40967,4681,30.716666666666665,21.79,9.13932,http://www.mapmyfitness.com/workout/7418962465,2023,7
10,2023-07-25,124,1.3039,6065,40.5,31.0606,7.79212,http://www.mapmyfitness.com/workout/7417918270,2023,7
11,2023-07-24,89,1.08033,4122,27.266666666666666,25.2391,13.7992,http://www.mapmyfitness.com/workout/7416808066,2023,7
12,2023-07-24,548,5.05315,8165,50.06666666666667,9.908,6.54013,http://www.mapmyfitness.com/workout/7416776251,2023,7
13,2023-07-24,164,2.07823,6973,45.78333333333333,22.03,10.0311,http://www.mapmyfitness.com/workout/7415701075,2023,7
14,2023-07-23,114,1.10562,6153,41.38333333333333,37.4301,7.63679,http://www.mapmyfitness.com/workout/7414064371,2023,7
15,2023-07-19,161,2.01879,7112,46.833333333333336,23.1987,10.1202,http://www.mapmyfitness.com/workout/7405963498,2023,7
16,2023-07-14,90,1.13288,3946,25.966666666666665,22.9208,9.95454,http://www.mapmyfitness.com/workout/7396135243,2023,7
17,2023-07-13,199,2.48599,7024,45.583333333333336,18.3361,11.8385,http://www.mapmyfitness.com/workout/7393934875,2023,7
18,2023-07-12,136,1.6793,6212,41.016666666666666,24.4249,13.3093,http://www.mapmyfitness.com/workout/7393123321,2023,7
19,2023-07-12,120,1.531,5033,33.0,21.5546,8.98187,http://www.mapmyfitness.com/workout/7392038278,2023,7
20,2023-07-11,127,1.60451,5427,35.65,22.2186,11.5091,http://www.mapmyfitness.com/workout/7389795064,2023,7
21,2023-07-10,109,1.36773,4970,32.78333333333333,23.9692,11.7464,http://www.mapmyfitness.com/workout/7389714400,2023,7
22,2023-07-10,127,1.56434,5793,38.25,24.4513,11.3106,http://www.mapmyfitness.com/workout/7387699669,2023,7
23,2023-07-09,162,2.04545,5929,38.55,18.8467,2.89558,http://www.mapmyfitness.com/workout/7385801503,2023,7
24,2023-07-08,186,2.32724,8347,55.016666666666666,23.6403,13.9456,http://www.mapmyfitness.com/workout/7383810028,2023,7
25,2023-07-07,185,1.96261,8989,59.983333333333334,30.563,8.88849,http://www.mapmyfitness.com/workout/7383675151,2023,7
26,2023-07-06,621,5.74422,9220,56.483333333333334,9.83307,7.3759,http://www.mapmyfitness.com/workout/7380033829,2023,7
27,2023-07-06,150,1.91961,6041,39.5,20.5771,11.2622,http://www.mapmyfitness.com/workout/7379733289,2023,7
28,2023-07-04,168,2.12987,7065,46.35,21.7619,11.1154,http://www.mapmyfitness.com/workout/7375789195,2023,7
29,2023-07-02,147,1.87907,5866,38.333333333333336,20.4002,8.67011,http://www.mapmyfitness.com/workout/7371699361,2023,7
30,2023-07-01,128,1.43806,6069,40.35,28.0586,9.20546,http://www.mapmyfitness.com/workout/7370082409,2023,7
31,2023-06-30,157,1.9787,6760,44.43333333333333,22.4559,10.0773,http://www.mapmyfitness.com/workout/7367936068,2023,6
32,2023-06-29,107,1.25482,5015,33.25,26.4979,10.9751,http://www.mapmyfitness.com/workout/7366071130,2023,6
33,2023-06-28,178,2.28227,6936,45.25,19.8267,9.639,http://www.mapmyfitness.com/workout/7364185960,2023,6
34,2023-06-27,101,1.20485,4661,30.85,25.6049,13.7516,http://www.mapmyfitness.com/workout/7363097275,2023,6
35,2023-06-27,172,2.19149,7124,46.68333333333333,21.302,10.8239,http://www.mapmyfitness.com/workout/7361959000,2023,6
36,2023-06-26,175,2.16391,7961,52.55,24.2847,8.53837,http://www.mapmyfitness.com/workout/7359869668,2023,6
37,2023-06-25,81,0.989671,3715,24.55,24.8062,12.8846,http://www.mapmyfitness.com/workout/7358781637,2023,6
38,2023-06-25,117,1.47681,4958,32.55,22.0408,8.04506,http://www.mapmyfitness.com/workout/7358085184,2023,6
39,2023-06-22,197,2.52723,7656,49.93333333333333,19.7581,12.1424,http://www.mapmyfitness.com/workout/7353334786,2023,6
40,2023-06-22,231,2.92295,8599,55.96666666666667,19.1473,9.67258,http://www.mapmyfitness.com/workout/7352294839,2023,6
41,2023-06-21,122,1.38255,5741,38.13333333333333,27.582,9.01746,http://www.mapmyfitness.com/workout/7350322381,2023,6
42,2023-06-20,174,2.19037,7603,50.016666666666666,22.8348,12.563,http://www.mapmyfitness.com/workout/7348105141,2023,6
43,2023-06-19,159,2.02102,6560,42.983333333333334,21.2681,13.3416,http://www.mapmyfitness.com/workout/7347073828,2023,6
44,2023-06-19,568,5.22627,8460,51.88333333333333,9.92741,6.46925,http://www.mapmyfitness.com/workout/7346215663,2023,6
45,2023-06-18,427,4.03878,6165,37.5,9.28498,2.79335,http://www.mapmyfitness.com/workout/7344222718,2023,6
46,2023-06-16,171,2.18236,7115,46.63333333333333,21.3683,8.80415,http://www.mapmyfitness.com/workout/7340224117,2023,6
47,2023-06-15,188,2.39107,7876,51.65,21.6012,9.62395,http://www.mapmyfitness.com/workout/7339252603,2023,6
48,2023-06-15,189,2.39997,7894,51.766666666666666,21.5697,10.4758,http://www.mapmyfitness.com/workout/7338215689,2023,6
49,2023-06-14,547,5.05071,8122,49.766666666666666,9.8534,7.76718,http://www.mapmyfitness.com/workout/7337173474,2023,6
50,2023-06-14,168,2.15068,6504,42.416666666666664,19.7224,10.404,http://www.mapmyfitness.com/workout/7336204444,2023,6
51,2023-06-13,128,1.64156,5066,33.083333333333336,20.1537,11.9203,http://www.mapmyfitness.com/workout/7334002927,2023,6
52,2023-06-12,182,2.34162,7252,47.36666666666667,20.2281,11.1049,http://www.mapmyfitness.com/workout/7332851257,2023,6
53,2023-06-12,152,1.78395,7096,47.03333333333333,26.3647,10.875,http://www.mapmyfitness.com/workout/7331821096,2023,6
54,2023-06-11,147,1.8478,6520,42.93333333333333,23.2348,11.8035,http://www.mapmyfitness.com/workout/7330077685,2023,6
